Well,Well Position,Sample,Target,Replicate,Reporter,Quencher,Amp Status,Amp Score,Cq,Cq Confidence,Cq Mean,Cq SD,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Tm1,,,,
1,A1,D251 fem,Cardinal,a,FAM,NFQ-MGB,AMP,1.620382427,27.78704367,0.993083921,28.08070029,0.354970914,FALSE,0.208458285,TRUE,12,22,59.98469925,,,,
1,A1,D251 fem,rps7,a,VIC,NFQ-MGB,AMP,1.194579322,19.15140527,0.972203831,18.62445093,0.745225971,FALSE,0.057783684,TRUE,10,16,66.77670288,,,,
2,A2,D251 fem,Cardinal,b,FAM,NFQ-MGB,AMP,1.626567782,28.47517491,0.994907654,28.08070029,0.354970914,FALSE,0.208458285,TRUE,14,24,59.98469925,,,,
2,A2,D251 fem,rps7,b,VIC,NFQ-MGB,NO_AMP,0.924569445,22.0620893,0.950405083,18.62445093,0.745225971,FALSE,0.057783684,TRUE,11,18,70.21530151,,,,
3,A3,D251 fem,Cardinal,c,FAM,NFQ-MGB,AMP,1.51340047,27.97988231,0.87549696,28.08070029,0.354970914,FALSE,0.208458285,TRUE,12,20,66.70950317,,,,
3,A3,D251 fem,rps7,c,VIC,NFQ-MGB,AMP,1.405110498,18.0974966,0.72893038,18.62445093,0.745225971,FALSE,0.057783684,TRUE,9,15,60.4007988,,,,
4,A4,SDA-500 fem,Cardinal,a,FAM,NFQ-MGB,AMP,1.597176314,25.69012463,0.991355909,25.76154457,0.114018315,FALSE,0.208458285,TRUE,14,20,61.78355026,,,,
4,A4,SDA-500 fem,rps7,a,VIC,NFQ-MGB,AMP,1.223981863,20.05980794,0.989596692,20.41842543,0.5092382,FALSE,0.057783684,TRUE,10,17,78.73339844,,,,
5,A5,SDA-500 fem,Cardinal,b,FAM,NFQ-MGB,AMP,1.619736811,25.89303851,0.994066166,25.76154457,0.114018315,FALSE,0.208458285,TRUE,7,20,60.19245148,,,,
5,A5,SDA-500 fem,rps7,b,VIC,NFQ-MGB,AMP,1.060767089,21.00130408,0.977851098,20.41842543,0.5092382,FALSE,0.057783684,TRUE,10,17,88.73280334,,,,
6,A6,SDA-500 fem,Cardinal,c,FAM,NFQ-MGB,AMP,1.604342633,25.70147056,0.992026274,25.76154457,0.114018315,FALSE,0.208458285,TRUE,8,20,59.97840118,,,,
6,A6,SDA-500 fem,rps7,c,VIC,NFQ-MGB,AMP,1.163621115,20.19416427,0.988388671,20.41842543,0.5092382,FALSE,0.057783684,TRUE,10,17,75.487854,,,,
13,B1,D251 male,Cardinal,a,FAM,NFQ-MGB,AMP,1.627902551,27.73484379,0.988410715,27.75424907,0.168145584,FALSE,0.208458285,TRUE,3,22,59.98469925,,,,
13,B1,D251 male,rps7,a,VIC,NFQ-MGB,AMP,1.070943694,21.67203481,0.983220867,21.03322806,0.927461934,FALSE,0.057783684,TRUE,11,18,86.4108963,,,,
